"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"94",1,"10:27:30 AM","10:27:53 AM",",9","6,","n",NA,"n","insemination","","B","social","N","female"
"95",1,"10:29:27 AM","",",2","4,","y","n","y","mount","","C","social","L","female"
"96",1,"10:30:33 AM","",",8",",7","","","","mount","","F","isolated","G","male"
"97",1,"10:30:45 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"98",1,"10:31:29 AM","",",9",",7","","","","mount","","B","social","G","male"
"99",1,"10:31:43 AM","",",7",",9","","","","mount","","G","isolated","B","male"
"100",1,"10:32:02 AM","",",9",",7","","","","mount","","B","social","G","male"
"101",1,"10:33:06 AM","10:33:36 AM",",2","1,","n",NA,"n","insemination","","C","social","J","female"
"102",1,"10:36:30 AM","",",1","0,","y","y",NA,"mount","","D","social","I","female"
"103",1,"10:37:18 AM","",",4","9,","n",NA,"y","mount","","A","social","P","female"
"104",1,"10:40:55 AM","",",0",",4","","","","mount","","E","isolated","A","male"
"105",1,"10:42:35 AM","",",4",",0","","","","mount","","A","social","E","male"
"106",1,"10:43:00 AM","",",4","9,","n",NA,"y","mount","","A","social","P","female"
"107",1,"10:46:03 AM","",",4","9,","n",NA,"y","mount","","A","social","P","female"
"108",1,"10:46:43 AM","",",4",",0","","","","mount","","A","social","E","male"
"109",1,"10:47:23 AM","",",0","0,","y","y",NA,"mount","","E","isolated","I","female"
"110",1,"10:47:38 AM","",",7",",9","","","","mount","","G","isolated","B","male"
"111",1,"10:48:27 AM","",",7",",8","","","","mount","","G","isolated","F","male"
"112",1,"11:05:30 AM","",",4","6,","y","y",NA,"mount","","A","social","N","female"
"113",1,"11:05:39 AM","",",4",",0","","","","mount","","A","social","E","male"
"114",1,"11:05:44 AM","",",0",",4","","","","mount","","E","isolated","A","male"
"115",1,"11:07:39 AM","",",0","9,","n",NA,"y","mount","","E","isolated","P","female"
"116",1,"11:10:04 AM","",",0","9,","n",NA,"y","mount","","E","isolated","P","female"
